,0,1
655,JOE BIDEN:,By the World Bank.
656,DONALD TRUMP:,"– talk about it, because they're embarrassed.  "
657,JOE BIDEN:,"By the, by everyone has discredited it.  Matter of fact –"
658,CHRIS WALLACE:,Excuse me.
659,JOE BIDEN:,"– a matter of fact, even the people –"
660,CHRIS WALLACE:,Mr. President –
661,JOE BIDEN:,– who testified –
662,CHRIS WALLACE:,– please stop.
663,JOE BIDEN:,"– under oath, under oath –"
664,DONALD TRUMP:,"So, let me ask you this, Joe –"
665,JOE BIDEN:,"– and, and, under oath –"
666,CHRIS WALLACE:,"No, no, go ahead."
667,DONALD TRUMP:,Why –
668,CHRIS WALLACE:,"Mr., I'm listening to you."
669,JOE BIDEN:,"Even, even people under –"
670,DONALD TRUMP:,He got 3 ½ million dollars from –
671,JOE BIDEN:,"He, he testified –"
672,DONALD TRUMP:,– Moscow.
673,JOE BIDEN:,"He testified under oath, and his administration said I did my job, and I did it very well."
674,DONALD TRUMP:,Oh really?
675,JOE BIDEN:,I'm really honored –
676,DONALD TRUMP:,"I'd, I'd like to know who they are."
677,JOE BIDEN:,"Every, well, I'll give you the list of –"
678,DONALD TRUMP:,I'll fire them.
679,JOE BIDEN:,– the people who testified.
680,CHRIS WALLACE:,"No, no, go ahead, sir."
681,JOE BIDEN:,"Sure, you've, they've, you've already fired most of them, because they did a good job."
682,DONALD TRUMP:,"Some, some people don't do a good job."
683,JOE BIDEN:,"Well, here's, with you –"
684,CHRIS WALLACE:,"Go ahead.  You've got the final – wait a minute, you get the final word, Mr. –"
685,JOE BIDEN:,"Well, it's hard to get any word in with this clown, excuse me, this, this person."
686,DONALD TRUMP:,"Hey, hey, let me just say, Joe."
687,CHRIS WALLACE:,"No, no, no, Mr. President."
688,JOE BIDEN:,No.
689,DONALD TRUMP:,"3 ½ million, Joe."
690,CHRIS WALLACE:,"Uh, Mr. President."
691,JOE BIDEN:,That is simply –
692,DONALD TRUMP:,Why did he deserve –
693,JOE BIDEN:,– not true.
694,DONALD TRUMP:,– 3 ½ million from Moscow?
695,JOE BIDEN:,"Look, here's the deal.  We want to talk about families and ethics.  I don't want to do that.  I mean, his family, we could talk about all night.  His family's already –"
696,DONALD TRUMP:,My family –
697,CHRIS WALLACE:,"No, no, no, let him, let him –"
698,JOE BIDEN:,– already wrote –
699,DONALD TRUMP:,My family lost a fortune by coming down and helping us with government –
700,CHRIS WALLACE:,"Go ahead.  Go ahead.  Go ahead, sir."
701,JOE BIDEN:,"And that's, that's such a –"
702,DONALD TRUMP:,"– and every, and they're right here."
703,JOE BIDEN:,That's a –
704,CHRIS WALLACE:,Mr. President?
705,JOE BIDEN:,That's such a great –
706,DONALD TRUMP:,Every single one of them lost a  –
707,CHRIS WALLACE:,Mr. President?
708,JOE BIDEN:,This is not about my family or his family.
709,DONALD TRUMP:,– fortune helping us with government.
710,JOE BIDEN:,"It's about your family, the American people."
711,DONALD TRUMP:,They didn't collect $3 1/2 million for nothing.
712,JOE BIDEN:,"He doesn't – that's not true.  He doesn't want to talk about what you need.  You, the American people.  It's about you.  That's what we're talking about here."
713,DONALD TRUMP:,"Then, he shouldn't have taken –"
714,CHRIS WALLACE:,All right.  That's the end of this –
715,DONALD TRUMP:,He shouldn't have taken the money.
716,JOE BIDEN:,It's not about him.
717,CHRIS WALLACE:,"That's the end of this segment.  We're move, we're moving on."
718,JOE BIDEN:,He didn't take the money.
719,CHRIS WALLACE:,Vice President –
720,DONALD TRUMP:,"Well, it's, this –"
721,CHRIS WALLACE:,"It, it's, no –"
722,DONALD TRUMP:,Can I be honest?  It's a very important question.
723,JOE BIDEN:,Try to be honest.
724,CHRIS WALLACE:,"No, I, I –"
725,DONALD TRUMP:,He stood up.
726,CHRIS WALLACE:,No.
727,DONALD TRUMP:,He stood up –
728,CHRIS WALLACE:,"Uh, the answer to the question is no."
729,DONALD TRUMP:,– and he threatened Ukraine –
730,CHRIS WALLACE:,"No, uh, sir?"
731,DONALD TRUMP:,– with a billion dollars –
732,CHRIS WALLACE:,Sir?
733,JOE BIDEN:,That is –
734,DONALD TRUMP:,– if you don't get rid of –
735,JOE BIDEN:,– absolutely –
736,CHRIS WALLACE:,You know what?  You're –
737,JOE BIDEN:,– not true.
738,CHRIS WALLACE:,Stop.
739,DONALD TRUMP:,You're on tape doing it.  You're on tape.
740,CHRIS WALLACE:,"You're, you're going to have –"
741,JOE BIDEN:,Not true.
742,CHRIS WALLACE:,Gentlemen!
743,JOE BIDEN:,Is –
744,CHRIS WALLACE:,"I, I hate to raise my voice –"
745,DONALD TRUMP:,He's on tape.
746,CHRIS WALLACE:,"– but it seems to be, why shouldn't I be different than the two of you?  So, here's the deal."
747,JOE BIDEN:,Very good point.
748,CHRIS WALLACE:,"We have five, six segments.  We have ended that segment.  We're going to go to the next segment.  In that segment, you each are going to have 2 uninterrupted moments.  In those 2 uninterrupted minutes, Mr. President, you can say anything you want.  I'm going to ask a question about race, but if you want to answer about something else, go ahead, but we – I think that the country would be better served if we allowed both people to speak with fewer interruptions.  I'm, I'm appealing to you, sir, to do that."
749,DONALD TRUMP:,"Well, and him, too."
750,CHRIS WALLACE:,"Well, frankly, you've been doing more interrupting than he has."
751,DONALD TRUMP:,"Well, that's all right, but he does plenty."
752,CHRIS WALLACE:,"Well, less than, sir, less than –"
753,DONALD TRUMP:,He does plenty.
754,CHRIS WALLACE:,"No, less than you have.  Let's please continue on.  The issue of race.  Vice President Biden, you say that President Trump's response to the violence in Charlottesville 3 years ago when he talked about very fine people on both sides was what directly led you to launch this run for president."
755,DONALD TRUMP:,"Oh yeah, sure."
756,CHRIS WALLACE:,"President Trump, you have often said that you believe you have done more for Black Americans than any president with the possible exception of Abraham Lincoln."
757,DONALD TRUMP:,True.
758,CHRIS WALLACE:,"My question for the two of you is, why should voters trust you rather than your opponent to deal with the race issues facing this country over the next 4 years?  Vice President Biden, you go first."
759,JOE BIDEN:,"It's about equity and equality.  It's about decency.  It's about the constitution, and we have never walked away from trying to require equity for everyone, equality for the whole of America, but we've never accomplished it, but we've never walked away from it like he has done.  It is true.  The reason I got in the race is when those people – close your eyes.  Remember what those people looked like coming out of the fields carrying torches, their veins bulging, spewing, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan.  A young woman got killed, and they asked the president what he thought.  He said there were very fine people on both sides.  No president's ever said –"
760,DONALD TRUMP:,Finish the statement.
761,JOE BIDEN:,– anything like that.
762,DONALD TRUMP:,Finish the statement.
763,CHRIS WALLACE:,"It, it, it is his minute, sir."
764,JOE BIDEN:,"Now second point I'd make to you is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House.  What did he do?  He came out of his bunker, had the military do, use teargas on them, so he could walk across to a church and hold up a Bible, and then what happened after that?  The bishop of that very church said that it was a disgrace.  The general who was with him said he only, all he ever wants to do is divide people, not unite people at all.  This is a president who has used everything as a dog whistle to try to generate racist hatred, racist division.  This is a man who in fact – you talk about helping African Americans?  1 in 1,000 African Americans has been killed because of the coronavirus, and if he doesn't do something quickly, by the end of the year, 1 in 500 will have been killed.  1 in 500 African Americans.  This man, this man is the, is the savior of African Americans?  This man cares at all?  This man's done virtually nothing.  Look, the fact is that you have to look at what he talks about.  You have to look at what he did, and what he did has been disastrous for the African American community."
765,DONALD TRUMP:,So –
766,CHRIS WALLACE:,"Pres, President Trump, you have 2 minutes.  Why should Americans trust you over your opponent to deal with racism?"
767,DONALD TRUMP:,"He did a crime bill 1994 where you call them super-predators, African Americans are super-predators, and they've never –"
768,JOE BIDEN:,I didn't say that.
769,DONALD TRUMP:,"– forgotten it.  They've never forgotten it, Joe."
770,JOE BIDEN:,I've never said it.
771,CHRIS WALLACE:,"Uh, no, sir, it's his 2 minutes."
772,DONALD TRUMP:,"So, you did that, and they call you super-predator, and I'm letting people out of jail now that – you have treated the African American population community, you have treated the Black community about as bad as anybody in this country.  You did the 19 – and that's why, if you look at the polls, I'm doing better than any Republican has done in a long time, because they saw what you did.  You called them super-predators, and you've called them worse than that, because you look back at your testimony over the years.  You've called them a lot worse than that.  As far as the church is concerned and as far as the generals are concerned, we just got the support of 200 mil, 250 military leaders and generals, total support.  Law enforcement, almost every law enforcement group in the United States.  I have Florida.  I have Texas.  I have Ohio.  I have every – excuse me, Portland.  The sheriff just came out today, and he said I support President Trump.  I don't think you have any law enforcement.  You can't even say the word law enforcement, because if you say those words, you're going to lose all of your radical left supports.  And why aren't you saying those words, Joe?  Why don't you say the words law enforcement?  Because, you know what?  If they called us in Portland, we would put out that fire in a half an hour, but they won't do it, because they're run by radical left Democrats.  If you look at Chicago, if you look at any place you want to look.  Seattle, they heard we were coming in the following day, and they put up their hands, and we got back Seattle.  Minneapolis, we got it back, Joe, because we believe law and order, but you don't.  The top ten cities, and just about the top 40 cities, are run by Democrats and in many cases radical left, and they've got you wrapped around their finger, Joe, to a point where you don't want to say anything about law and order, and I'll tell you what, the people of this country want and demand law and order, and you're afraid to even say it."
773,CHRIS WALLACE:,"All right.  I want to, I want to return to the question of race.  Vice President Biden, after the grand jury in the Breonna Taylor case decided not to charge any of the police with homicide, you said it raises the question, quote, ""whether justice could be equally applied in America.""  Do you believe that there is a separate but unequal system of justice for Blacks in this country?"
774,JOE BIDEN:,"Yes, there is.  There's a systemic injustice in this country.  In education and work and in, in law enforcement, and, and the, and the way in which it's enforced, but look, the vast majority of police officers are good, decent, honorable men and women.  They risk their lives every day to take care of us.  But there are some bad apples, and when they occur, when they find them, they have to be sorted out.  They have to be held accountable.  They have to be held accountable, and what I'm going to do as President of the United States is call together an entire group of people at the White House.  Everything from the civil rights groups to the police officers to the police chiefs, and we're going to work this out.  We're going to work this out, so we change the way in which we have more transparency, and when these things happen – these cops aren't happy to see what happened to, to, to George Floyd.  These cops aren't happy to see what happened to Breonna Taylor.  Most don't like it, but we have to have a system where people are held accountable when – and by the way, violence in response is never appropriate, never appropriate.  Peaceful protest is.  Violence is never appropriate."
775,CHRIS WALLACE:,"All right, Mr. –"
776,DONALD TRUMP:,What is peaceful protest?
777,CHRIS WALLACE:,– President?
778,DONALD TRUMP:,When they run through the middle of the town –
779,CHRIS WALLACE:,"President, President Trump?"
780,DONALD TRUMP:,– and burn down your stores –
781,CHRIS WALLACE:,"President, I, I –"
782,DONALD TRUMP:,– and kill people all over the place?
783,CHRIS WALLACE:,President Trump?
784,JOE BIDEN:,That is not peaceful –
785,DONALD TRUMP:,And you say peaceful protests.
786,CHRIS WALLACE:,"President Trump, I'm not asking –"
787,DONALD TRUMP:,"No, it's not, but you say it is."
788,CHRIS WALLACE:,President Trump –
789,JOE BIDEN:,I did not say that.
790,CHRIS WALLACE:,"– I'd like to continue with the issue of race, and I promise, we're going to get to the issue of law and order –"
791,DONALD TRUMP:,Please.
792,CHRIS WALLACE:,"– in a moment.  This month, your administration, uh, directed federal agencies to end racial sensitivity training that addresses white privilege or critical race theory.  Why did you decide to do that, to end racial sensitivity training, and do you believe that there is systemic racism in this country, sir?"
793,DONALD TRUMP:,"I ended it, because it's racist.  I ended it, because a lot of people were complaining that they were asked to do things that were absolutely insane, that it was a radical, uh, revolution that was taking place in our military, uh, in our schools, all over the place, and you know it and so does everybody else –"
794,CHRIS WALLACE:,"What, what, what is radical about –"
795,DONALD TRUMP:,– and he would know.
796,CHRIS WALLACE:,What is radical about –
797,DONALD TRUMP:,"Oh, it was totally radical."
798,CHRIS WALLACE:,"– racial sensitivity training, sir?"
799,DONALD TRUMP:,"If you were a certain person, you had no status in life.  It was sort of a reversal, and if you look at the people, we were paying people hundreds of thousands of dollars to teach very bad ideas, and frankly, very sick ideas, and, and really, they were teaching people to hate our country, and I'm not going to do that.  I'm not going to allow that to happen.  We have to go back to the core values of this country.  They were teaching people that our country is a horrible place, it's a racist place, and they were teaching people to hate our country, and I'm not going to allow that to happen. "
800,JOE BIDEN:,No one's doing that.
801,CHRIS WALLACE:,Vice President Biden?
802,JOE BIDEN:,"Nobody's doing that.  He's just, he's the racist."
803,DONALD TRUMP:,"Oh, you, you, you just don't know."
804,JOE BIDEN:,"Here's the deal.  I, I know a lot more about this than you do."
805,DONALD TRUMP:,You don't know.
806,CHRIS WALLACE:,"Let, let him finish."
807,JOE BIDEN:,"The fact is that there is racial insensitivity.  People have to be made aware of what other people feel like, what, what, what insults them, what is demeaning to them.  It's important that people know.  They don't want to, many people don't want to hurt other people's feelings, but it makes a big difference.  It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem.  It's a little bit like how this guy and, and his friends look down on so many people.  They look down their nose on people like Irish Catholics like me.  I grew up in Scranton.  They look down on people who don't have money.  They look down on people who are of a different faith.  They look down on people who are a different color.  In fact, we're all Americans.  The only way we're going to bring this country together is bring everybody together.  There's nothing we cannot do if we do it together.  We can take this on, and we can defeat racism in America."
808,CHRIS WALLACE:,"Vice President, I mean, President Trump, sir?"
809,DONALD TRUMP:,"During the Obama-Biden administration, there was tremendous division.  There was hatred.  You look at, uh, Ferguson.  You look at, or you go to very, many places.  Look at Oakland.  Look at what happened in Oakland.  Look at what happened in Baltimore.  Look what happened – and frankly it was more violent than what I'm even seeing now."
810,JOE BIDEN:,Oh my lord.
811,DONALD TRUMP:,But the reason is that the – 
812,JOE BIDEN:,This is ridiculous.
813,DONALD TRUMP:,– Democrats that run these – 
814,JOE BIDEN:,Absolutely ridiculous.
815,DONALD TRUMP:,"– cities, don't want to talk like you about law and order."
816,JOE BIDEN:,Violent crime – 
817,DONALD TRUMP:,You still haven't mentioned – 
818,JOE BIDEN:,– violent crime – 
819,DONALD TRUMP:,Are you in favor of law and order?
820,JOE BIDEN:,I'm in favor of law.  You following it – 
821,DONALD TRUMP:,Are you in favor of law and order?
822,JOE BIDEN:,– and a little bit of order.
823,DONALD TRUMP:,"Go ahead, say it, Joe."
824,JOE BIDEN:,"Yes, I'm in favor of –"
825,CHRIS WALLACE:,You asked a question.  Let him finish.
826,JOE BIDEN:,– law and order.
827,DONALD TRUMP:,He loses the left –
828,CHRIS WALLACE:,Let him answer.
829,JOE BIDEN:,Law and order with justice where people get treated fairly.
830,DONALD TRUMP:,Okay.
831,JOE BIDEN:,"And the fact of the matter is violent crime went down 17 percent, 15 percent in our administration."
832,CHRIS WALLACE:,All right.
833,JOE BIDEN:,It's gone up on his watch.
834,DONALD TRUMP:,It went down much more in ours. 
835,JOE BIDEN:,"He, he had –"
836,CHRIS WALLACE:,"All right, we're, we're not – "
837,JOE BIDEN:,He is President of the United States of America.
838,CHRIS WALLACE:,Mr. President –
839,DONALD TRUMP:, (inaudible) China.  We're breaking every record in the book.
840,CHRIS WALLACE:,"Mr. President, you're going to be very happy because we're now going to talk about law and order."
841,DONALD TRUMP:,The places we had trouble were Democratic run cities.  
842,CHRIS WALLACE:,"That's exactly my question.  There has been a dramatic increase in homicides in America this summer particularly, and you often blame that on Democratic mayors and Democratic governors, but in fact, there have been equivalent spikes in Republican-led cities like Tulsa and Fort Worth.  So the question is, is this really a party issue?"
843,DONALD TRUMP:,"I think it's a party issue.  You can bring in a couple of examples but if you look at Chicago, what's going on in Chicago where, uh, 53 people were shot and 8 died.  Shot.  If you look at New York, where it's going up like nobody has ever seen anything.  The numbers are going up 100, 150, 200 percent, uh, crime –"
844,JOE BIDEN:,Republican cities.
845,DONALD TRUMP:,"It is, it is crazy what's going on.  "
846,JOE BIDEN:,Republican – 
847,DONALD TRUMP:,"And he doesn't want to say law and order because he can't, because he'll lose his radical left supporters, and once he does that, it's over with.  But if he ever got to run this country, and they ran it the way he would want to run it, we would have – "
848,JOE BIDEN:,We would run it the way – 
849,DONALD TRUMP:,"– our suburbs would be gone.  By the way, our suburbs would be gone, and you would see problems like you've never seen before."
850,JOE BIDEN:,He wouldn't know a suburb unless he took a wrong turn.
851,DONALD TRUMP:,"Oh, I know suburbs."
852,JOE BIDEN:,He would not.  
853,DONALD TRUMP:,So much better than you do.
854,JOE BIDEN:,"I was raised, I was – "
855,CHRIS WALLACE:,"Go, go ahead, wait a minute.  "
856,JOE BIDEN:,"I was raised in the suburbs.  This is not 1950.  All these dog whistles and racism don't work anymore.  Suburbs are by and large integrated.  There is many people today driving their kids to soccer practice and/or to, uh, Black and White and Hispanic in the same car as there have been any time in, in the past.  What's, what really is a threat to the suburbs and their safety is his failure to deal with COVID.  They're dying in the suburbs.  His failure to deal with the environment.  They're being flooded.  They're being burned out, because his – "
857,CHRIS WALLACE:,Okay.
858,JOE BIDEN:,– refusal to do any.  That's why the suburbs are in trouble.
859,CHRIS WALLACE:,"I, I do want to talk about this issue of law and order though and in the joint recommendation that came from the Biden-Bernie Sanders task force, you talked about quote reimagining policing. "
860,JOE BIDEN:,Yeah.
861,CHRIS WALLACE:,"First of all, what is reimagining policing mean and do you support – "
862,JOE BIDEN:,It means –
863,CHRIS WALLACE:,"– uh, uh, let me, if I might finish the question, what is reimagining policing mean, and do you support the Black Lives Matter, uh, call for, uh, for community control of policing?"
864,JOE BIDEN:,"Look, what I support is the police having the opportunity to deal with the problems they face.  And I'm not, I'm totally opposed to defunding the police officers.  As a matter of fact, police, local police – the only one defunding in his budget calls for a 400 million dollar cut in local law enforcement assistance.  They need more assistance.  They need when they show up for a 911 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down.  We have to have community policing like we had before, where the officers get to know the people in the communities.  That's when crime went down.  It didn't go up.  It went down.  And so we have to be engaged – "
865,DONALD TRUMP:,"That's not what they're talking about, Chris."
866,JOE BIDEN:,"That, that – "
867,DONALD TRUMP:,That's not what they're talking about.  
868,JOE BIDEN:,That's exactly –
869,DONALD TRUMP:,He's talking about the defunding the police.
870,JOE BIDEN:,That is not true.
871,DONALD TRUMP:,He doesn't have any law – he has no law enforcement support.
872,JOE BIDEN:,That's not true.
873,DONALD TRUMP:,Almost nothing.
874,JOE BIDEN:,"That's not, that, look – "
875,DONALD TRUMP:,"Oh, really?  Who do you have?  Name one group that supports you.  Name one group that came out and supported you.  Go ahead."
876,JOE BIDEN:,Look –
877,DONALD TRUMP:,Think.  We have time.
878,JOE BIDEN:,We don't have time to do anything except –
879,CHRIS WALLACE:,"All right, folks."
880,DONALD TRUMP:,Name one law enforcement group – 
881,CHRIS WALLACE:,Folks.
882,DONALD TRUMP:,– that came out and supported you.
883,CHRIS WALLACE:,"So I think, I think gentlemen, I'm going to take back the moderator's role."
884,DONALD TRUMP:,There aren't.  I don't think there are any.  
885,CHRIS WALLACE:,"And I want, and I want to get to another subject, which is the issue of protests in many cities that have turned violent.  In Portland, Oregon, especially, we had a, more than 100 straight days of protests, which I think you would agree – you talk about peaceful protests, many of those turned into riots.  Mr. Vice President, you say that people who commit crimes should be held accountable.  The question I have though is, as the Democratic nominee, and earlier tonight you said that you are the Democratic Party right now, have you ever called the Democratic mayor of Portland or the Democratic governor of Oregon and said, hey, you got to stop this.  Bring in the National Guard, do whatever it takes, but you stop the days and months of violence in Portland?"
886,JOE BIDEN:,I don't hold public office now.  I am a former Vice President.  I've made it clear.  I made it clear in my public statements that the violence should be prosecuted.  It should be prosecuted and anyone who commits it should prosecuted.
887,CHRIS WALLACE:,"But you never called for the people, the leaders –"
888,DONALD TRUMP:,(Inaudible).  He's never said that.
889,CHRIS WALLACE:,"Excuse me, sir.  You have never called for the leaders in Portland and in Oregon to call in – "
890,JOE BIDEN:,Because –
891,CHRIS WALLACE:,– bring in the National Guard and not go 100 days of riots.
892,JOE BIDEN:,They can in fact take care of it if he'd just stay out of the way.
893,DONALD TRUMP:,"Oh, oh really."
894,JOE BIDEN:,Look here.
895,DONALD TRUMP:,Oh really.
896,JOE BIDEN:,Here's the thing.
897,DONALD TRUMP:,I sent – 
898,CHRIS WALLACE:,Now wait a minute.  I asked him a question.  No.
899,DONALD TRUMP:,I sent in the U.S. Marshals to get the killer of the young man in the middle of the street.  They shot him and – 
900,CHRIS WALLACE:,All right.
901,DONALD TRUMP:,– for 3 days – 
902,CHRIS WALLACE:,"Mr., President Trump."
903,DONALD TRUMP:,– Portland wouldn't do anything.
904,CHRIS WALLACE:,President Trump.  I interrupted –
905,DONALD TRUMP:,I had to send in the U.S. Marshals – 
906,CHRIS WALLACE:,President Trump.
907,DONALD TRUMP:,– and they took care of business.
908,CHRIS WALLACE:,"Go ahead, sir."
909,JOE BIDEN:,"And, and by the way, you know, his own former spokesperson said, you know, riots and chaos and violence help his cause.  That's what this is all about."
910,DONALD TRUMP:,I don't know who said that.
911,JOE BIDEN:,I do.
912,DONALD TRUMP:,Who?
913,JOE BIDEN:,"I think it, Kellyanne Conway."
914,DONALD TRUMP:,I don't think she said that.
915,JOE BIDEN:,She said that.  
916,DONALD TRUMP:,I don't know.
917,JOE BIDEN:,And so here's the point.
918,CHRIS WALLACE:,All right.
919,JOE BIDEN:,But here's the point.
920,CHRIS WALLACE:,Go ahead.
921,JOE BIDEN:,"The point is that, that's what he just keeps trying to rile everything up.  He doesn't want to calm things down.  Instead of going in and talking to people and saying let's get everybody together, figure out how to deal with this.  What's he do?  He just pours gasoline in the fire constantly.  And every single solitary time –"
922,CHRIS WALLACE:,"Okay, and, and to end this, button up this segment, I'm going to give you a minute to answer, sir.  You have repeatedly criticized –"
923,DONALD TRUMP:,I have to answer his statement.  
924,CHRIS WALLACE:,"No, uh, you have repeatedly – "
925,DONALD TRUMP:,"But his statement.  Wait, just one second."
926,CHRIS WALLACE:,No.  You've been talking (inaudible) –
927,DONALD TRUMP:,He made a statement.
928,CHRIS WALLACE:,I'm asking you a question.
929,DONALD TRUMP:,I would love to end it.
930,CHRIS WALLACE:,"No, sir."
931,DONALD TRUMP:,I would love to end it –
932,CHRIS WALLACE:,"I, you know, if you want to switch seats – "
933,DONALD TRUMP:,We could very quickly – 
934,CHRIS WALLACE:,"– we could do that.  But I'm, no, I'm – "
935,DONALD TRUMP:,"– send in the National Guard, it would be over.  There'd be no problem."
936,CHRIS WALLACE:,Okay.
937,DONALD TRUMP:,But they don't want to accept the National Guard.
938,CHRIS WALLACE:,"You have repeatedly criticized the, the Vice President for not specifically calling out Antifa and other left wing – "
939,DONALD TRUMP:,That's right.
940,CHRIS WALLACE:,"– extremist groups, but are you willing tonight to condemn white supremacists and militia groups – "
941,DONALD TRUMP:,Sure.
942,CHRIS WALLACE:,"– and to say that they need to stand down and not add to the violence in a number of these cities, as we saw in Kenosha and as we've seen in Portland?"
943,DONALD TRUMP:,"Sure, I'm willing to do that."
944,CHRIS WALLACE:,Are you prepared specifically –
945,JOE BIDEN:,Then do it.
946,CHRIS WALLACE:,"Go ahead, sir."
947,DONALD TRUMP:,"I would say, I would say almost everything I see is from the left wing.  Not from the right wing."
948,CHRIS WALLACE:,"So what do you, what do you –"
949,DONALD TRUMP:,If you look –
950,CHRIS WALLACE:,What are you saying?
951,DONALD TRUMP:,"I'm, I'm willing to do anything.  I want to see peace."
952,CHRIS WALLACE:,"Well then do it, sir. "
953,JOE BIDEN:,Say it.  Do it.  Say it. 
954,DONALD TRUMP:,"Do you want to call them, what do you want to call them?  Give me a name, give me a name –"
955,CHRIS WALLACE:,White supremacists and right radicals – 
956,JOE BIDEN:,White supremacists.  Proud Boys.
957,DONALD TRUMP:,"Go ahead, who would you like me to condemn? "
958,CHRIS WALLACE:,White supremacists and (inaudible).  
959,DONALD TRUMP:,"The Proud Boys?  Stand back and standby, but I'll tell you what, I'll tell you what.  Somebody's got to do something about Antifa and the left, because this is not a right wing problem.  "
960,JOE BIDEN:,"His own, his own – "
961,DONALD TRUMP:,This is a left wing problem. 
962,JOE BIDEN:,– FBI director said –
963,DONALD TRUMP:,This is a left wing problem. 
964,JOE BIDEN:,"– the threat comes from white supremacists.  Antifa's an idea, not an organization. "
965,DONALD TRUMP:,"Oh, you got to be kidding me. "
966,JOE BIDEN:,– not militia.  That's what his FBI –
967,DONALD TRUMP:,"It's an idea, okay. "
968,JOE BIDEN:,– his FBI director said. 
969,CHRIS WALLACE:,"Gentlemen, we're going to have to – no, no, then, we're done. "
970,DONALD TRUMP:,"Well then, you know what, he's wrong. "
971,CHRIS WALLACE:,"We're done, sir. "
972,JOE BIDEN:,"Everybody, everybody (inaudible) your administration. "
973,CHRIS WALLACE:,"We're moving onto the next, we're moving –"
974,DONALD TRUMP:,"When a bat hits you over the head, that's not an idea. "
975,JOE BIDEN:,Everybody in your administration –
976,DONALD TRUMP:,Antifa is bad. 
977,JOE BIDEN:,"– tells you the truth has a bad, has a bad idea. "
978,DONALD TRUMP:,Can I tell you what – 
979,JOE BIDEN:,You have no ideas that are –
980,DONALD TRUMP:,"Antifa, Antifa is a dangerous radical group."
981,CHRIS WALLACE:,"All right, gentlemen, we're now moving onto the Trump and Biden records. "
982,DONALD TRUMP:,And you ought to be careful with them.  They'll overthrow you. 
983,CHRIS WALLACE:,"When a president – I'm going to ask a question – when the president seeks a second term, it is generally a referendum on his record, but Vice President Biden, you like to quote one of your dad's sayings which is, ""Don't compare me to the almighty, compare me to the alternative"", and in this case, sir, you are the alternative.  Looking at both of your records, I'm going to ask each of you, why should voters elect you president over your opponent in this segment.  President Trump, you go first, 2 minutes."
984,DONALD TRUMP:,"Because there has never been an administration or president who has done more than I've done in a period of 3 ½ years, and that's despite the impeachment hoax, and you saw what happened today with Hilary Clinton, where it was a whole big con job.  But despite going through all of these things, where I had to fight both flanks and behind me and above.  There has never been an administration that's done what I've done.  The greatest – before COVID came in, the greatest economy in history, lowest unemployment numbers.  Everything was good, everything was going – and by the way, there was unity going to happen.  People were calling me for the first time in years, they were calling and they were saying, it's time maybe, and then what happened?  We got hit, but now we're building it back up again.  A rebuilding of the military, including Space Force and all of the other things.  A fixing of the, the VA, which was a mess under him.  308,000 people died because they didn't have proper healthcare.  He, he was a mess. And we now got a 91 percent approval rating at the VA.  Our vets.  We take care of our vets.  But we've rebuilt our military.  The job that we've done – and, and I'll tell you something some people say may be the most important.  By the end of the first term, I'll have approximately 300 federal judges and court of appeals judges, 300, and hopefully three great Supreme Court judges, justices.  That is a record the likes of which very few people – and you know one of the reasons I'll have so many judges?  Because President Obama and him left me 128 judges to fill.  When you leave office, you don't leave any judges.  That's, like, you just don't do that.  They left 128 openings, and if I were a member of his party, because they have a little different philosophy, I'd say if you left us 128 openings, you can't be a good president, you can't be a good vice president.  But I want to thank you, because it gives us almost – it'll probably be above that number by the end of this term."
985,CHRIS WALLACE:,I'm sorry. 
986,DONALD TRUMP:,300 judges.  It's a record. 
987,CHRIS WALLACE:,"Looking at both your records, why should voters elect you president as opposed to President Trump?"
988,JOE BIDEN:,This president –
989,CHRIS WALLACE:,You have 2 minutes uninterrupted. 
990,JOE BIDEN:,"Under this president, we've become weaker, sicker, poorer, more divided and more violent.  When I was vice president, we inherited a recession.  I was asked to fix it.  I did, we left him a booming economy, and he caused the recession.  With regard to being weaker, the fact is that I've gone head to head with Putin, and made it clear to him we're not going to take any of his stuff.  He's Putin's puppy.  He still refuses to even say anything to Putin about the bounty on the heads of American soldiers. "
991,DONALD TRUMP:,Your son got $3 ½ million. 
992,CHRIS WALLACE:,"No, no, no.  Not –"
993,JOE BIDEN:,"And by the way, my son – "
994,CHRIS WALLACE:,"Mr. President, wait a minute.  Mr. President, your campaign agreed to, both sides would get 2 minutes answers uninterrupted.  Well your, your side agreed to it, and why don't you observe what your campaign agreed to as a ground rule, okay sir? "
995,JOE BIDEN:,He never keeps his word.  We can add back 30 seconds –
996,DONALD TRUMP:,Because –
997,CHRIS WALLACE:,"No, no, no, I'm not asking.  That was a rhetorical question. "
998,DONALD TRUMP:,(Inaudible) 
999,JOE BIDEN:,"Can you, can you add back 30 seconds?"
1000,CHRIS WALLACE:,"Yeah, yes, you may have – "
1001,JOE BIDEN:,All right. 
1002,CHRIS WALLACE:,Go ahead. 
